Museum Type,City (Administrative Location)
ART MUSEUM,COOPERSTOWN
HISTORIC PRESERVATION,JAMESTOWN
GENERAL MUSEUM,JAMESTOWN
NATURAL HISTORY MUSEUM,DELMAR
ART MUSEUM,HEMPSTEAD
HISTORIC PRESERVATION,FINDLEY LAKE
GENERAL MUSEUM,HEMPSTEAD
ART MUSEUM,SEA CLIFF
GENERAL MUSEUM,GENEVA
HISTORY MUSEUM,KEUKA PARK
HISTORY MUSEUM,NEW YORK
HISTORIC PRESERVATION,CAPTREE IS
HISTORIC PRESERVATION,PATCHOGUE
HISTORY MUSEUM,COLD SPRING
ART MUSEUM,GARDEN CITY
GENERAL MUSEUM,WEST SENECA
ART MUSEUM,NEW YORK
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,FISHKILL
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",HOOSICK FALLS
HISTORIC PRESERVATION,FLANDERS
HISTORIC PRESERVATION,FLORAL PARK
HISTORIC PRESERVATION,FLORIDA
HISTORIC PRESERVATION,FLY CREEK
ART MUSEUM,BRONX
ART MUSEUM,ONEONTA
HISTORIC PRESERVATION,BUFFALO
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",KINGSTON
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",KINGSTON
HISTORIC PRESERVATION,MADRID
HISTORIC PRESERVATION,BREWERTON
HISTORIC PRESERVATION,BREWERTON
HISTORIC PRESERVATION,NARROWSBURG
GENERAL MUSEUM,FORT DRUM
HISTORIC PRESERVATION,FORT EDWARD
HISTORY MUSEUM,BROOKLYN
HISTORIC PRESERVATION,ST JOHNSVILLE
HISTORIC PRESERVATION,SAINT JOHNSVILLE
GENERAL MUSEUM,OGDENSBURG
HISTORY MUSEUM,OGDENSBURG
HISTORIC PRESERVATION,FORT PLAIN
GENERAL MUSEUM,FORT PLAIN
HISTORIC PRESERVATION,ROME
HISTORIC PRESERVATION,TICONDEROGA
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",NEW YORK
GENERAL MUSEUM,LAKE GEORGE
ART MUSEUM,JAMESTOWN
ART MUSEUM,ALFRED
ART MUSEUM,NEW YORK
ART MUSEUM,WAPPINGERS FL
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",NEW YORK
GENERAL MUSEUM,BEACON
GENERAL MUSEUM,NEW YORK
GENERAL MUSEUM,FLUSHING
ART MUSEUM,POUGHKEEPSIE
ART MUSEUM,SARATOGA SPRINGS
HISTORIC PRESERVATION,FRANKFORT
HISTORIC PRESERVATION,MALONE
GENERAL MUSEUM,HYDE PARK
GENERAL MUSEUM,BROOKLYN
HISTORIC PRESERVATION,FRANKLIN SQ
ART MUSEUM,OGDENSBURG
GENERAL MUSEUM,ROCHESTER
GENERAL MUSEUM,ROCHESTER
GENERAL MUSEUM,HYDE PARK
HISTORIC PRESERVATION,FREDONIA
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,FREEPORT
HISTORIC PRESERVATION,FREEPORT
HISTORIC PRESERVATION,LAKE GEORGE
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,UNION SPRINGS
HISTORIC PRESERVATION,UNION SPRINGS
HISTORIC PRESERVATION,GREENPORT
HISTORIC PRESERVATION,GLOVERSVILLE
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,CLYDE
ART MUSEUM,SYRACUSE
ART MUSEUM,COOPERSTOWN
ART MUSEUM,WATERTOWN
ART MUSEUM,BINGHAMTON
ART MUSEUM,SETAUKET
HISTORY MUSEUM,GALWAY
HISTORIC PRESERVATION,GARDEN CITY
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",COLD SPRING
HISTORY MUSEUM,STATEN ISLAND
ART MUSEUM,GARRISON
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",GLEN COVE
HISTORIC PRESERVATION,ROCHESTER
HISTORIC PRESERVATION,STATEN ISLAND
HISTORIC PRESERVATION,NEW CITY
HISTORIC PRESERVATION,KINGS PARK
HISTORIC PRESERVATION,EAST AMHERST
HISTORIC PRESERVATION,NEW YORK
GENERAL MUSEUM,MUMFORD
HISTORY MUSEUM,MUMFORD
GENERAL MUSEUM,MUMFORD
HISTORIC PRESERVATION,ROCHESTER
GENERAL MUSEUM,ROCHESTER
GENERAL MUSEUM,NEW YORK
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,GENEVA
HISTORIC PRESERVATION,KING FERRY
GENERAL MUSEUM,ROCHESTER
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",ESPERANCE
HISTORIC PRESERVATION,NEW CITY
ART MUSEUM,ELMIRA
GENERAL MUSEUM,SHUSHAN
GENERAL MUSEUM,ATLANTIC BCH
HISTORIC PRESERVATION,KINGS PARK
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,GILBOA
GENERAL MUSEUM,NEW YORK
GENERAL MUSEUM,NYC
GENERAL MUSEUM,SOUTH OTSELIC
HISTORIC PRESERVATION,HOMER
GENERAL MUSEUM,HAMMONDSPORT
HISTORIC PRESERVATION,GLENS FALLS
HISTORY MUSEUM,NEW YORK
HISTORIC PRESERVATION,OLD FORGE
HISTORIC PRESERVATION,GORHAM
HISTORIC PRESERVATION,GOSHEN
GENERAL MUSEUM,GOUVERNEUR
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,GOWANDA
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,GRAND ISLAND
ART MUSEUM,ALBANY
HISTORIC PRESERVATION,CANANDAIGUA
HISTORIC PRESERVATION,CANANDAIGUA
GENERAL MUSEUM,WILTON
HISTORIC PRESERVATION,DERBY
NATURAL HISTORY MUSEUM,GREAT NECK
GENERAL MUSEUM,GREAT NECK
HISTORIC PRESERVATION,WELLSVILLE
HISTORIC PRESERVATION,LONG ISLAND CITY
GENERAL MUSEUM,BUFFALO
GENERAL MUSEUM,FLEISCHMANNS
HISTORY MUSEUM,ELMSFORD
HISTORY MUSEUM,MILFORD
HISTORIC PRESERVATION,ONEONTA
HISTORIC PRESERVATION,PATCHOGUE
HISTORIC PRESERVATION,MASPETH
GENERAL MUSEUM,LIVERPOOL
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",GREAT NECK
HISTORIC PRESERVATION,GREECE
GENERAL MUSEUM,ASTORIA
HISTORY MUSEUM,EAST HAMPTON
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,BROOKLYN
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",SCARSDALE
HISTORIC PRESERVATION,COXSACKIE
HISTORIC PRESERVATION,COXSACKIE
HISTORIC PRESERVATION,GREENE
HISTORIC PRESERVATION,GREENE
HISTORIC PRESERVATION,GREENFIELD CENTER
HISTORY MUSEUM,BROOKLYN
HISTORIC PRESERVATION,GREENPORT
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",ALBANY
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,GREENWOOD LAKE
ART MUSEUM,NEW YORK
HISTORY MUSEUM,HAMMONDSPORT
ART MUSEUM,COBLESKILL
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",CALVERTON
ART MUSEUM,BROOKLYN
GENERAL MUSEUM,EAST HAMPTON
HISTORIC PRESERVATION,GUILDERLAND
HISTORIC PRESERVATION,GUILFORD
HISTORY MUSEUM,OSWEGO
HISTORIC PRESERVATION,LAKE LUZERNE
HISTORIC PRESERVATION,HAGUE
HISTORIC PRESERVATION,RICHLAND
HISTORIC PRESERVATION,HALFMOON
GENERAL MUSEUM,NEW YORK
GENERAL MUSEUM,BRONX
GENERAL MUSEUM,BRONX
GENERAL MUSEUM,SCHENECTADY
HISTORIC PRESERVATION,RONKONKOMA
HISTORIC PRESERVATION,RIVERHEAD
ART MUSEUM,BUFFALO
GENERAL MUSEUM,SOUTHAMPTON
HISTORIC PRESERVATION,HAMBURG
HISTORIC PRESERVATION,HAMBURG
NATURAL HISTORY MUSEUM,BUFFALO
HISTORIC PRESERVATION,NORTHVILLE
HISTORIC PRESERVATION,NEW YORK
GENERAL MUSEUM,NORTH SALEM
HISTORIC PRESERVATION,HAMPTON BAYS
HISTORIC PRESERVATION,HANCOCK
ART MUSEUM,CLAYTON
ART MUSEUM,ITHACA
GENERAL MUSEUM,EAST MEREDITH
HISTORY MUSEUM,EAST MEREDITH
HISTORIC PRESERVATION,HANNIBAL
GENERAL MUSEUM,BROOKLYN
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,SLOATSBURG
HISTORIC PRESERVATION,ASHVILLE
GENERAL MUSEUM,GOSHEN
HISTORIC PRESERVATION,HARPERSFIELD
HISTORY MUSEUM,AUBURN
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,HARTFORD
HISTORIC PRESERVATION,GASPORT
GENERAL MUSEUM,ONEONTA
HISTORIC PRESERVATION,HASTINGS HDSN
GENERAL MUSEUM,HAVERSTRAW
GENERAL MUSEUM,HAVERSTRAW
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,NEW YORK
ART MUSEUM,NEW YORK
HISTORY MUSEUM,EVANS MILLS
ART MUSEUM,HUNTINGTON
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",ROCHESTER
HISTORIC PRESERVATION,HENDERSON
HISTORY MUSEUM,BROOKLYN
HISTORIC PRESERVATION,HENRIETTA
NATURAL HISTORY MUSEUM,FISHERS ISLE
ART MUSEUM,ITHACA
HISTORIC PRESERVATION,E ROCHESTER
HISTORY MUSEUM,NORWOOD
GENERAL MUSEUM,ASTORIA
HISTORIC PRESERVATION,WEST NYACK
GENERAL MUSEUM,HERKIMER
HISTORIC PRESERVATION,HERKIMER
HISTORIC PRESERVATION,LITTLE FALLS
HISTORY MUSEUM,SCARSDALE
GENERAL MUSEUM,NORTH TONAWANDA
ART MUSEUM,ANNANDALE-ON-HUDSON
HISTORIC PRESERVATION,HEUVELTON
ART MUSEUM,NEW YORK
NATURAL HISTORY MUSEUM,HICKSVILLE
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,ROCHESTER
HISTORIC PRESERVATION,HIGHLAND FALLS
ART MUSEUM,BROOKESVILLE
HISTORIC PRESERVATION,OLEAN
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,TROY
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,ELMIRA
HISTORIC PRESERVATION,ALBANY
HISTORIC PRESERVATION,N TONAWANDA
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,ROCHESTER
HISTORIC PRESERVATION,ALBANY
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,ELMIRA
HISTORIC PRESERVATION,FORT PLAIN
GENERAL MUSEUM,NORTH SALEM
HISTORY MUSEUM,CLIFTON PARK
HISTORIC PRESERVATION,HERKIMER
HISTORIC PRESERVATION,HORNELL
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,SLEEPY HOLLOW
HISTORIC PRESERVATION,HULETTS LANDING
HISTORIC PRESERVATION,ITHACA
HISTORIC PRESERVATION,KERHONKSON
HISTORIC PRESERVATION,KINGSTON
HISTORIC PRESERVATION,KINGSTON
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,BROOKLYN
HISTORIC PRESERVATION,LIVERPOOL
HISTORIC PRESERVATION,LOCKPORT
HISTORY MUSEUM,PALMYRA
HISTORIC PRESERVATION,PITTSFORD
HISTORIC PRESERVATION,COHOES
HISTORIC PRESERVATION,PALMYRA
HISTORIC PRESERVATION,SALEM
HISTORIC PRESERVATION,SARANAC LAKE
HISTORIC PRESERVATION,SPENCERTOWN
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",STATEN ISLAND
HISTORIC PRESERVATION,ACCORD
HISTORIC PRESERVATION,LEWISTON
HISTORIC PRESERVATION,ADAMS
HISTORIC PRESERVATION,NORTH BAY
HISTORIC PRESERVATION,FREDONIA
HISTORIC PRESERVATION,TARRYTOWN
HISTORIC PRESERVATION,NEWBURGH
HISTORIC PRESERVATION,CANANDAIGUA
HISTORIC PRESERVATION,DUNKIRK
HISTORIC PRESERVATION,ALBANY
HISTORIC PRESERVATION,COOPERSTOWN
HISTORIC PRESERVATION,EAST ROCKAWAY
HISTORIC PRESERVATION,ELBA
HISTORIC PRESERVATION,NASSAU
HISTORIC PRESERVATION,PRT JEFFERSON
HISTORIC PRESERVATION,ISLIP
HISTORIC PRESERVATION,MANNSVILLE
HISTORIC PRESERVATION,SOUTH GLENS FALLS
HISTORIC PRESERVATION,NIAGARA FALLS
HISTORIC PRESERVATION,PAWLING
HISTORIC PRESERVATION,NEW CITY
HISTORIC PRESERVATION,SARATOGA SPGS
HISTORIC PRESERVATION,WALLKILL
HISTORIC PRESERVATION,ALBANY
HISTORIC PRESERVATION,MERRICK
HISTORIC PRESERVATION,NYACK
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",TOMKINS COVE
HISTORIC PRESERVATION,TONAWANDA
HISTORIC PRESERVATION,BOLTON LANDING
HISTORIC PRESERVATION,CLARENCE
HISTORIC PRESERVATION,E BLOOMFIELD
HISTORIC PRESERVATION,STANLEY
HISTORIC PRESERVATION,MARGARETVILLE
HISTORIC PRESERVATION,EAST GREENBUSH
HISTORIC PRESERVATION,WARWICK
HISTORIC PRESERVATION,WESTBURY
HISTORIC PRESERVATION,WALDEN
HISTORIC PRESERVATION,WHITEHALL
HISTORIC PRESERVATION,WOODSTOCK
HISTORIC PRESERVATION,CHESTERTOWN
HISTORIC PRESERVATION,ITHACA
HISTORIC PRESERVATION,FULTON
HISTORIC PRESERVATION,HOBART
GENERAL MUSEUM,HEMPSTEAD
GENERAL MUSEUM,HEMPSTEAD
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",HEMPSTEAD
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,BATAVIA
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,GLEN COVE
HISTORIC PRESERVATION,SPRING VALLEY
GENERAL MUSEUM,EAST HAMPTON
HISTORY MUSEUM,HOMER
HISTORIC PRESERVATION,HONEOYE FALLS
HISTORIC PRESERVATION,HONEOYE
HISTORIC PRESERVATION,BUFFALO
HISTORIC PRESERVATION,SYRACUSE
HISTORIC PRESERVATION,HOOSICK FALLS
HISTORIC PRESERVATION,CHAPPAQUA
GENERAL MUSEUM,PLATTSBURGH
HISTORIC PRESERVATION,BRANT LAKE
HISTORIC PRESERVATION,CORNING
HISTORIC PRESERVATION,HORSEHEADS
HISTORIC PRESERVATION,NEW YORK
GENERAL MUSEUM,SOUTHOLD
GENERAL MUSEUM,OGDENSBURG
ART MUSEUM,GENEVA
GENERAL MUSEUM,AURORA
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",ONEONTA
GENERAL MUSEUM,NEWFANE
HISTORIC PRESERVATION,HUDSON
GENERAL MUSEUM,BEACON
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",CORNWALL
HISTORY MUSEUM,TROY
HISTORIC PRESERVATION,HUDSON
HISTORIC PRESERVATION,RHINEBECK
HISTORIC PRESERVATION,HUDSON
GENERAL MUSEUM,KINGSTON
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,YONKERS
ART MUSEUM,YONKERS
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",STAATSBURG
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",BEACON
ART MUSEUM,PEEKSKILL
CHILDREN'S MUSEUM,NANUET
GENERAL MUSEUM,CLAVERACK
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",PATTERSON
HISTORIC PRESERVATION,NEW ROCHELLE
HISTORIC PRESERVATION,NEW PALTZ
HISTORIC PRESERVATION,NEW PALTZ
HISTORY MUSEUM,LANCASTER
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,ELLENVILLE
HISTORIC PRESERVATION,HUNTINGTON
HISTORIC PRESERVATION,HALESITE
HISTORIC PRESERVATION,HURLEY
ART MUSEUM,BROOKESVILLE
GENERAL MUSEUM,GLENS FALLS
HISTORY MUSEUM,COOPERSTOWN
HISTORIC PRESERVATION,HYDE PARK
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",HYDE PARK
CHILDREN'S MUSEUM,PLATTSBURGH
HISTORIC PRESERVATION,NEW YORK
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,BRONX
NATURAL HISTORY MUSEUM,NEW YORK
GENERAL MUSEUM,SCHENECTADY
HISTORIC PRESERVATION,PURCHASE
GENERAL MUSEUM,MIDDLETOWN
HISTORIC PRESERVATION,INTERLAKEN
GENERAL MUSEUM,ROCHESTER
GENERAL MUSEUM,NEW YORK
ART MUSEUM,NEW YORK
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,NEW YORK
ART MUSEUM,NEW YORK
GENERAL MUSEUM,LATHAM
GENERAL MUSEUM,NEW YORK
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,NEW YORK
GENERAL MUSEUM,BUFFALO
HISTORIC PRESERVATION,CLINTON
HISTORY MUSEUM,PALM BAY
HISTORIC PRESERVATION,VALLEY STREAM
GENERAL MUSEUM,ALBANY
HISTORIC PRESERVATION,PORT HENRY
HISTORIC PRESERVATION,MILLERTON
HISTORIC PRESERVATION,ROCHESTER
GENERAL MUSEUM,HOWES CAVE
HISTORIC PRESERVATION,IRVINGTON
HISTORIC PRESERVATION,IRVINGTON
ART MUSEUM,LONG IS CITY
ART MUSEUM,LONG ISLAND CITY
HISTORIC PRESERVATION,FRANKLINVILLE
ART MUSEUM,EAST ISLIP
GENERAL MUSEUM,BRONX
HISTORIC PRESERVATION,DIX HILLS
GENERAL MUSEUM,ITHACA
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",ITHACA
GENERAL MUSEUM,ITHACA
HISTORIC PRESERVATION,ITHACA
GENERAL MUSEUM,STATEN ISLAND
ART MUSEUM,JAMAICA
ART MUSEUM,NEW YORK
ART MUSEUM,JAMESTOWN
HISTORIC PRESERVATION,JAMESPORT
GENERAL MUSEUM,JAMESVILLE
GENERAL MUSEUM,NEW YORK
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",NORTH SALEM
HISTORIC PRESERVATION,JAVA VILLLAGE
HISTORIC PRESERVATION,RYE
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,WATERTOWN
GENERAL MUSEUM,LE ROY
GENERAL MUSEUM,NEW YORK
CHILDREN'S MUSEUM,NEW YORK
CHILDREN'S MUSEUM,BROOKLYN
HISTORIC PRESERVATION,BROOKLYN
HISTORIC PRESERVATION,NISKAYUNA
HISTORIC PRESERVATION,STATEN ISLAND
GENERAL MUSEUM,NEW YORK
GENERAL MUSEUM,NEW YORK
GENERAL MUSEUM,LONG ISLAND CITY
ART MUSEUM,SYRACUSE
HISTORIC PRESERVATION,WOODSTOCK
ART MUSEUM,SKANEATELES
HISTORIC PRESERVATION,OSWEGO
HISTORIC PRESERVATION,KATONAH
ART MUSEUM,MUMFORD
ART MUSEUM,NEW YORK
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,ATHOL
GENERAL MUSEUM,ELMIRA
HISTORIC PRESERVATION,WEVERTOWN
ART MUSEUM,ITHACA
ART MUSEUM,ITHACA
HISTORIC PRESERVATION,JOHNSTOWN
HISTORIC PRESERVATION,JORDAN
HISTORIC PRESERVATION,SOUTHOLD
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,BRIARCLIFF MANOR
HISTORIC PRESERVATION,SUNNYSIDE
ART MUSEUM,NEW YORK
GENERAL MUSEUM,CENTER MORICHES
HISTORIC PRESERVATION,CANISTEO
GENERAL MUSEUM,BUFFALO
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,KATONAH
HISTORIC PRESERVATION,KATONAH
ART MUSEUM,KATONAH
GENERAL MUSEUM,EDEN
HISTORIC PRESERVATION,LARCHMONT
GENERAL MUSEUM,PLATTSBURGH
HISTORIC PRESERVATION,CARMEL
ART MUSEUM,BROOKLYN
HISTORIC PRESERVATION,MORICHES
HISTORY MUSEUM,JAMAICA
GENERAL MUSEUM,JAMAICA
HISTORIC PRESERVATION,WALLKILL
GENERAL MUSEUM,CORINTH
ART MUSEUM,CLINTON
HISTORIC PRESERVATION,KIRKWOOD
HISTORIC PRESERVATION,BUFFALO
HISTORIC PRESERVATION,PORT EWEN
HISTORIC PRESERVATION,SCHAGHTICOKE
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,VESTAL
GENERAL MUSEUM,BROOKLYN
HISTORY MUSEUM,STONE RIDGE
GENERAL MUSEUM,BROOKLYN
HISTORIC PRESERVATION,NEWPORT
HISTORY MUSEUM,PENN YAN
GENERAL MUSEUM,CHITTENANGO
GENERAL MUSEUM,ITHACA
HISTORIC PRESERVATION,LACKAWANNA
GENERAL MUSEUM,LONG ISLAND
HISTORIC PRESERVATION,NEW YORK
GENERAL MUSEUM,BOLTON LANDIN
HISTORIC PRESERVATION,LAKE GEORGE
HISTORIC PRESERVATION,LAKE GEORGE
HISTORIC PRESERVATION,LAKE PLACID
HISTORIC PRESERVATION,RONKONKOMA
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,TROY
HISTORIC PRESERVATION,LANCASTER
HISTORIC PRESERVATION,PORT WASHINGTON
HISTORIC PRESERVATION,ROCHESTER
HISTORIC PRESERVATION,BREWSTER
HISTORIC PRESERVATION,TROY
HISTORIC PRESERVATION,MAMARONECK
ART MUSEUM,DOBBS FERRY
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",KATONAH
GENERAL MUSEUM,AMITYVILLE
HISTORY MUSEUM,BEMUS POINT
HISTORIC PRESERVATION,ONEONTA
HISTORIC PRESERVATION,MARYLAND
HISTORIC PRESERVATION,NEW LEBANON
ART MUSEUM,GENESEO
HISTORY MUSEUM,OSWEGO
GENERAL MUSEUM,NEW YORK
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",BROOKLYN
HISTORIC PRESERVATION,MANCHESTER
ART MUSEUM,BRONX
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",MT KISCO
GENERAL MUSEUM,NEW YORK
HISTORIC PRESERVATION,CONEWANGO VALLEY
HISTORIC PRESERVATION,LEROY
HISTORIC PRESERVATION,LE ROY
GENERAL MUSEUM,NEW YORK
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,LEVITTOWN
HISTORIC PRESERVATION,LOWVILLE
HISTORIC PRESERVATION,LEWISTON
GENERAL MUSEUM,LEWISTON
HISTORIC PRESERVATION,LEXINGTON
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,BROOKLYN
HISTORIC PRESERVATION,LIBERTY
HISTORIC PRESERVATION,EAST ROCKAWAY
ART MUSEUM,MORRISVILLE
ART MUSEUM,AUBURN
GENERAL MUSEUM,SYRACUSE
HISTORIC PRESERVATION,NEW YORK
HISTORIC PRESERVATION,LIMA
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",CORTLAND
HISTORIC PRESERVATION,ORISKANY FALLS
HISTORY MUSEUM,NEW YORK
HISTORIC PRESERVATION,LITTLE FALLS
ART MUSEUM,TROY
GENERAL MUSEUM,ENDICOTT
HISTORIC PRESERVATION,PINE PLAINS
HISTORIC PRESERVATION,COEYMANS HOLLOW
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",BROOKVILLE
GENERAL MUSEUM,LIVERPOOL
GENERAL MUSEUM,BROOKLYN
HISTORIC PRESERVATION,GENESEO
HISTORIC PRESERVATION,LIVONIA
HISTORIC PRESERVATION,LIVONIA
HISTORIC PRESERVATION,LLOYD NECK
HISTORIC PRESERVATION,HIGHLAND
GENERAL MUSEUM,NIAGARA FALLS
HISTORIC PRESERVATION,PORT BYRON
GENERAL MUSEUM,LOCKPORT
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",POUGHKEEPSIE
HISTORIC PRESERVATION,LOCUST VALLEY
HISTORIC PRESERVATION,LODI
HISTORIC PRESERVATION,LONG BEACH
HISTORIC PRESERVATION,LONG BEACH
HISTORIC PRESERVATION,GREAT NECK
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,RIVERHEAD
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",BAY SHORE
HISTORY MUSEUM,OCEANSIDE
CHILDREN'S MUSEUM,GARDEN CITY
HISTORIC PRESERVATION,SAINT JAMES
GENERAL MUSEUM,WEST SAYVILLE
GENERAL MUSEUM,STONY BROOK
HISTORY MUSEUM,STONY BROOK
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,GARDEN CITY
HISTORY MUSEUM,PORT JEFFERSON
HISTORY MUSEUM,LEVITTOWN
HISTORIC PRESERVATION,EAST NORWICH
HISTORY MUSEUM,HOLBROOK
GENERAL MUSEUM,HICKSVILLE
HISTORIC PRESERVATION,EAST FARMINGDALE
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,RIVERHEAD
HISTORY MUSEUM,SAYVILLE
"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",MANORVILLE
HISTORIC PRESERVATION,LONG LAKE
HISTORIC PRESERVATION,EAST HAMPTON
HISTORIC PRESERVATION,MIDDLE ISLAND
ART MUSEUM,BRONX
HISTORIC PRESERVATION,CAZENOVIA
HISTORIC PRESERVATION,MONTAUK
GENERAL MUSEUM,CORONA
ART MUSEUM,HEMPSTEAD
HISTORY MUSEUM,NEW YORK
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,SUFFERN
HISTORIC PRESERVATION,BUFFALO
GENERAL MUSEUM,NEW YORK
ART MUSEUM,JAMESTOWN
GENERAL MUSEUM,JAMESTOWN
GENERAL MUSEUM,JAMESTOWN
GENERAL MUSEUM,JAMESTOWN
HISTORIC PRESERVATION,FINEVIEW
HISTORIC PRESERVATION,ROTTERDAM JUNCTION
HISTORIC PRESERVATION,MACEDON
ART MUSEUM,NEW YORK
HISTORIC PRESERVATION,ONEIDA
HISTORIC PRESERVATION,ONEIDA
HISTORIC PRESERVATION,MORRISVILLE
HISTORIC PRESERVATION,MADISON
"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",SAGAPONACK
HISTORIC PRESERVATION,MADRID
HISTORY MUSEUM,NEW YORK
HISTORIC PRESERVATION,MALVERNE
HISTORIC PRESERVATION,MAMARONECK
GENERAL MUSEUM,GARRISON
HISTORIC PRESERVATION,MANLIUS
HISTORIC PRESERVATION,MANORVILLE
HISTORIC PRESERVATION,MARATHON
HISTORIC PRESERVATION,TUCKAHOE
GENERAL MUSEUM,BOLTON LANDIN
HISTORIC PRESERVATION,MARCELLUS
GENERAL MUSEUM,BROOKLYN
HISTORIC PRESERVATION,MARILLA
HISTORY MUSEUM,NYC
CHILDREN'S MUSEUM,PORT JEFFERSON
HISTORY MUSEUM,BRONX
GENERAL MUSEUM,BUFFALO
ART MUSEUM,LOCKPORT
HISTORIC PRESERVATION,MIDDLEHOPE
HISTORIC PRESERVATION,DEANSBORO
HISTORIC PRESERVATION,BUFFALO
HISTORIC PRESERVATION,KINDERHOOK
HISTORIC PRESERVATION,MARTINSBURG
GENERAL MUSEUM,MASSAPEQUA
GENERAL MUSEUM,MASSENA
HISTORIC PRESERVATION,MASTIC
HISTORIC PRESERVATION,CENTER MORICHES
SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,POUGHKEEPSIE
GENERAL MUSEUM,WELLSVILLE
